平均价,ID
1.0,504
1.5,505
-2.5,506
1.0,507
1.5,508
-2.5,509
1.0,510
1.5,511
-0.5,512
0.5,513
0.5,514
-4.0,515
1.5,516
1.0,517
-2.5,518
1.5,519
1.0,520
-2.5,521
1.75,522
0.75,523
-2.5,524
2.0,525
0.5,526
-1.5,527
1.0,528
0.5,529
-1.5,530
1.0,531
0.5,532
-1.5,533
1.0,534
0.5,535
-1.5,536
1.0,537
0.5,538
-1.5,539
1.0,540
0.5,541
-1.5,542
1.0,543
0.5,544
-1.5,545
1.0,546
0.5,547
-1.5,548
1.0,549
0.5,550
-1.5,551
1.0,552
0.5,553
-1.5,554
1.0,555
0.5,556
-1.5,557
1.0,558
0.5,559
-1.25,560
0.75,561
0.5,562
-1.25,563
0.75,564
0.5,565
-1.25,566
0.75,567
0.5,568
-1.25,569
0.75,570
1.0,571
-1.75,572
0.75,573
1.0,574
-1.75,575
0.75,576
1.0,577
-1.75,578
0.75,579
1.0,580
-1.75,581
0.75,582
1.0,583
-1.75,584
0.75,585
1.0,586
-1.75,587
0.75,588
1.0,589
-1.75,590
0.75,591
1.0,592
-1.75,593
0.75,594
1.0,595
-1.75,596
0.75,597
1.0,598
-1.75,599
0.75,600
1.0,601
-2.0,602
0.5,603
1.0,604
-1.5,605
0.5,606
1.0,607
-2.0,608
0.5,609
1.0,610
-2.5,611
0.75,612
0.75,613
-1.5,614
0.75,615
0.75,616
-1.5,617
0.75,618
0.75,619
-1.5,620
0.75,621
0.75,622
-1.5,623
0.75,624
0.75,625
-1.5,626
0.75,627
0.75,628
-1.5,629
0.75,630
0.75,631
-1.5,632
0.75,633
0.75,634
-1.5,635
0.75,636
0.75,637
-1.5,638
0.75,639
0.75,640
-1.5,641
0.75,642
0.75,643
-1.5,644
0.75,645
0.75,646
-1.5,647
0.75,648
0.75,649
-1.5,650
0.75,651
0.75,652
-1.5,653
0.75,654
0.75,655
-1.5,656
0.75,657
0.75,658
-1.5,659
0.75,660
0.75,661
-1.5,662
0.75,663
0.75,664
-1.5,665
0.75,666
0.75,667
-1.5,668
0.75,669
0.75,670
-1.5,671
0.75,672
0.75,673
-1.5,674
0.75,675
0.75,676
-1.5,677
0.75,678
0.75,679
-1.5,680
0.75,681
0.75,682
-1.5,683
0.75,684
0.75,685
-1.5,686
0.75,687
0.75,688
-1.5,689
0.75,690
0.75,691
-1.5,692
0.75,693
0.75,694
-1.5,695
0.75,696
0.75,697
-1.5,698
0.75,699
0.75,700
-1.5,701
0.75,702
0.75,703
-1.5,704
0.75,705
0.75,706
-1.5,707
0.75,708
0.75,709
-1.5,710
0.75,711
0.75,712
-1.5,713
0.75,714
0.75,715
-1.5,716
0.75,717
0.75,718
-1.5,719
0.75,720
0.75,721
-1.5,722
0.75,723
0.75,724
-1.5,725
0.75,726
0.75,727
-1.5,728
0.75,729
0.75,730
-1.5,731
0.75,732
0.75,733
-1.5,734
0.75,735
0.75,736
-1.5,737
0.75,738
0.75,739
-1.5,740
0.75,741
0.75,742
-1.5,743
0.75,744
0.75,745
-1.5,746
0.75,747
0.75,748
-1.5,749
0.75,750
0.75,751
-1.5,752
0.75,753
0.75,754
-1.5,755
0.75,756
0.75,757
-1.5,758
0.75,759
0.75,760
-1.5,761
0.75,762
0.75,763
-1.5,764
0.75,765
0.75,766
-1.5,767
0.75,768
0.75,769
-1.5,770
0.75,771
0.75,772
-1.5,773
0.75,774
0.75,775
-1.5,776
0.75,777
0.75,778
-1.5,779
0.75,780
0.75,781
-1.5,782
