平均价,ID
2.5,0
3.0,1
-5.5,2
2.5,3
3.0,4
-5.5,5
2.5,6
3.0,7
-5.5,8
2.5,9
3.0,10
-4.5,11
2.5,12
5.5,13
-8.0,14
2.5,15
5.5,16
-8.0,17
2.5,18
5.5,19
-8.0,20
2.5,21
5.5,22
-8.0,23
2.5,24
5.5,25
-8.0,26
2.5,27
5.5,28
-8.0,29
2.5,30
5.5,31
-8.0,32
2.5,33
5.5,34
-8.0,35
2.5,36
5.5,37
-8.0,38
2.5,39
5.5,40
-8.0,41
2.5,42
5.5,43
-8.0,44
2.5,45
5.5,46
-8.0,47
2.5,48
5.5,49
-8.0,50
2.5,51
5.5,52
-8.0,53
3.5,54
6.5,55
-10.0,56
3.5,57
6.5,58
-10.0,59
3.5,60
6.5,61
-10.0,62
3.5,63
6.5,64
-10.0,65
3.5,66
6.5,67
-10.0,68
3.5,69
6.5,70
-10.0,71
3.5,72
6.5,73
-10.0,74
3.5,75
6.5,76
-10.0,77
3.5,78
6.5,79
-10.0,80
3.5,81
6.5,82
-10.0,83
3.5,84
6.5,85
-10.0,86
3.5,87
6.5,88
-10.0,89
3.5,90
6.5,91
-10.0,92
3.5,93
6.5,94
-10.0,95
3.5,96
6.5,97
-10.0,98
3.5,99
6.5,100
-10.0,101
3.5,102
6.5,103
-10.0,104
3.5,105
6.5,106
-10.0,107
3.5,108
6.5,109
-10.0,110
3.5,111
6.5,112
-10.0,113
2.0,114
4.0,115
-6.0,116
2.0,117
4.0,118
-6.0,119
2.0,120
4.0,121
-6.0,122
2.0,123
4.0,124
-6.0,125
2.0,126
4.0,127
-6.0,128
2.0,129
4.0,130
-6.0,131
2.0,132
4.0,133
-4.5,134
3.0,135
3.5,136
-6.5,137
3.0,138
3.5,139
-6.5,140
3.0,141
3.5,142
-6.5,143
3.0,144
3.5,145
-6.5,146
3.0,147
3.5,148
-6.5,149
3.0,150
3.5,151
-6.5,152
3.0,153
3.5,154
-6.5,155
6.5,156
5.5,157
-12.0,158
6.5,159
5.5,160
-12.0,161
6.5,162
5.5,163
-12.0,164
6.5,165
5.5,166
-12.0,167
6.5,168
5.5,169
-12.0,170
6.5,171
