一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
水果,进口果,火箭果,31.0,31.5,32.0,斤,2023-03-10,0
水果,进口果,火箭果,31.0,31.5,32.0,斤,2023-02-28,1
水果,进口果,火箭果,31.0,31.5,32.0,斤,2023-02-20,2
水果,进口果,火箭果,31.0,31.5,32.0,斤,2023-01-31,3
水果,进口果,火箭果,31.0,31.5,32.0,斤,2023-01-10,4
,,,,31.5,,,,5
,,,,31.5,,,,6
,,,,31.5,,,,7
,,,,31.5,,,,8
,,,,31.5,,,,9
,,,,31.5,,,,10
,,,,31.5,,,,11
