一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期,ID
粮油,米面类,尚品长粒香米,3.1,3.15,3.2,斤,2023-05-10,0
粮油,米面类,尚品长粒香米,3.1,3.15,3.2,斤,2023-04-30,1
粮油,米面类,尚品长粒香米,3.1,3.15,3.2,斤,2023-04-10,2
粮油,米面类,尚品长粒香米,3.1,3.15,3.2,斤,2023-03-31,3
粮油,米面类,尚品长粒香米,3.1,3.15,3.2,斤,2023-03-20,4
,,,,3.15,,,,5
,,,,3.15,,,,6
,,,,3.15,,,,7
,,,,3.15,,,,8
,,,,3.15,,,,9
,,,,3.15,,,,10
,,,,3.15,,,,11
