数据集名称,所使用数据量条数,平均绝对误差,均方根误差,决定系数
江米面,66,0.0749483352468426,0.0749741631731438,0.0006888633754303
沙葁,34,0.81829416258482,0.969073638250908,0.4143149226940573
油桃,3,0.777777777777778,0.8249579113843055,0.0576923076923077
油菜,259,0.6142697844879761,0.7306218851572321,0.0646729580120408
油麦菜,259,1.2276752951782133,1.5106324806764984,0.1027496760174713
法香,34,3.782494495124253,4.3848160898928334,0.1524753316146402
波士顿龙虾,310,8.973909307171617,11.54399874098614,0.2146296371449716
泥鳅,310,2.5515289302495767,2.9197688780299287,0.0544233128164426
活珠子,325,0.0554514183839337,0.0628328076026388,0.5418350007155956
海虹,310,0.0958060764144986,0.1412461645786143,0.1827617081478926
海蜇丝,310,0.3009118679088517,0.3668109247900307,0.7288738029857831
海蜇头,310,0.5645415404567995,0.6613223870051207,0.6078810415045414
海蜇皮,310,0.5401421186586556,0.6986089541954452,0.7222434844685747
海螺,930,6.954020308943713,8.200071466313739,0.0585363281718133
海鲈鱼,310,0.4788922038092025,0.6062019915568396,0.4584018077764786
淘汰鸡,720,0.5324512228766647,0.6405452920112431,0.0013752365750621
淡水鲈鱼,310,2.683418572671854,3.015621713212416,0.1269205388617292
清江鱼,310,0.6312952820213729,0.7444523885224837,0.7438279246028974
澳柑,16,0.6664522058823529,0.8582027432544199,0.7801841342774358
澳洲芒果,2,0.0,0.0,1.0
澳洲龙虾,144,18.89057150677121,22.949247280395426,0.067912754745195
火参果,33,0.5566379030951223,0.6680201430508166,0.4845052161330417
火箭果,5,0.0,0.0,1.0
火龙果,33,0.3951608329282126,0.6065558638202656,0.164921406992911
熟腰果,33,1.2553881056554856,1.5031894668220651,0.4444788201430247
熟鸭蛋,360,0.2425854761968048,0.3307328205171661,0.0007898112170108
燕鲅,310,1.0939379417940909,1.4871322107111755,0.0611763676992779
燕麦,33,0.0607782369146005,0.0717244743359279,0.4466911764705884
爆花玉米,33,0.0,0.0,1.0
牛上脑,360,1.722008476002759,2.0934001802803066,0.0742639802745644
牛前腱,360,1.0865320727211834,1.655727498465137,0.3760581777531899
牛前腿,360,1.755545070339953,2.1221334717809825,0.0579190407271069
牛后腱,360,1.134457849159406,1.7111209024446616,0.3498650890500681
牛后腿,360,1.7351190856382357,2.1155871492906075,0.0588687647140369
牛宝,360,0.6607192175598828,0.8033226853941294,0.1609708782283201
牛尾,360,0.8780718722681046,1.063220470161531,0.0454707110368505
牛尾巴鱼,310,0.2077375084675457,0.2699078986978974,0.3226672493990575
牛心,360,0.5186860152384578,0.6191776501974959,0.7043475226083543
牛心管,360,2.9125322423803177,3.3468567977238783,0.7632773899781569
牛排骨,360,0.6482718035566309,0.9253561988834728,0.0538761128564463
牛板筋,360,0.4582228762815288,0.5554025666767662,0.5545518117744488
牛林,360,1.734508345852959,2.1266677791904307,0.0804393812040009
牛柳,360,0.8588554811141563,1.0911149731240684,0.3562913833131255
牛油,360,0.0,0.0,1.0
牛油果,33,4.000280546102738,4.693709254666779,0.1171860214521768
牛百叶,360,0.4203711865155946,0.5048706747597197,0.8663269745671598
牛筋头巴脑,360,1.5425237506119305,2.0041996830206914,0.1195065904700268
牛肚,360,0.5133323757261117,0.5620062931736296,0.4878074676878671
牛腩,360,1.70126897335218,2.110589435975891,0.0679962552315035
牛腰子,360,1.027629261971329,1.3627227382995912,0.3887851108236234
牛腰窝,360,1.3058906658087497,1.5269666776825035,0.0043559927258696
牛舌,360,1.0253083539310577,1.2940227984500676,0.9408261728254932
牛蛙,310,1.2867561486166403,1.5481271847789264,0.2698594413779959
牛蹄筋,360,0.6095154412199683,0.7291660928267691,0.7597741536391422
牛金钱腱,360,1.6103238005570637,2.7016497120505902,0.0279995949452246
牛鞭,360,1.3041120794827803,2.0382775081331737,0.3322706049117511
牛骨,360,0.0557423764843865,0.1009098580065245,0.1425010995455211
猕猴桃,29,1.4592152199762187,1.836947398039177,0.8455890154555173
猕猴桃干,33,0.0,0.0,1.0
猪口条,360,0.7643944321510633,0.921207840231066,0.6473036501071003
猪头,360,0.3417521456141209,0.4148233679902747,0.1763096741644922
猪尾巴,360,0.8663708932081944,1.2061985159881077,0.8127284194585812
猪心,360,0.7062456539730961,0.9584318818791968,0.1818903142919417
猪板油,360,0.2727941436090756,0.3154533334165562,0.5827954685452905
猪皮,360,0.5054931084787749,0.7057666115851651,0.3480481283947452
猪耳,360,0.5130971995621062,0.6618685840222046,0.7497666760267478
猪肚,360,1.1599594736384855,1.4914873350242543,0.4461261109061357
猪肝,360,0.3918115143444847,0.5355884797552011,0.2067244902665317
猪肠,360,0.6516132708357087,0.7952849165273602,0.4092908711201135
猪肠头,360,0.5206051458444613,0.6264729395658176,0.326627073402517
猪肺,360,0.2242265962438363,0.3848930574647529,0.0253889496733246
猪脑,360,1.025231185697306,1.3355451197712451,0.1351778030453129
猪腰子,360,1.982115926987129,2.8778404072716786,0.0011976524003352
猪蹄,360,0.4917676727948764,0.6340888453252695,0.7448604903740689
猫眼螺,310,0.6070256424233171,0.685050681566279,0.2719007550763451
猫眼豆,33,0.0,0.0,1.0
玉米渣,33,0.0,0.0,1.0
玉米面,33,0.0,0.0,1.0
玫瑰香黑提,9,0.8679012345679009,0.9747585962625072,0.7942179144385029
玫瑰龙虾,137,8.410666960634195,10.864330228724432,0.0997159496161347
珍宝蟹,280,12.843663535899957,14.392956498484006,0.0046497243677233
球茎茴香,34,3.308295510717656,3.9958818620525007,0.3439044870815388
琵琶虾,153,9.536159210429227,13.495612740711566,0.1457580428483605
甜豆,34,1.716397789062149,2.422199634994111,0.0310984230055657
生腰果,33,2.132271917031276,2.433702020759054,0.5945281082730121
生蚝,620,0.8518226854928062,1.1349329111092168,0.1321681841209573
生鸭蛋,360,0.3222460013766111,0.3700200674211185,0.0910188305174868
田满村稻花香米,33,0.0260668179117376,0.0307042291778744,0.7787382733265727
田螺,310,0.0846869368876977,0.0964537315246173,0.1669701603217257
甲鱼,620,10.712342455155593,11.04139098031838,0.0036174621918719
番杏,34,1.2014919336718644,1.481423793587828,0.1335462351855794
白条乌鸡,360,0.597699357760152,0.7565196314923175,0.1361624527361282
白条乳鸽,360,1.3345710286401962,1.5459927289287343,0.1371882085556459
白条兔,55,0.5829043683589139,0.7207008264376163,0.5192858235538362
白条湖鸭,360,0.0602821842951654,0.0969162521230746,0.1419900008066221
白条猪,719,0.8517471476205333,1.0816280954526598,0.0004586177244311
白条鹅,360,0.6896693931323201,0.7114825839499588,0.1454904797260328
白瓜子,33,0.455512680278723,0.6417279119470849,0.5302788976941917
白芝麻,33,0.0619834710743801,0.0708051480046275,0.595588235294118
白芸豆,33,1.0092367525522603,1.2242889307671727,0.47714626391097
白薯干,33,0.180359747204667,0.2540654161278751,0.4754170324846355
白虾,1048,3.004021354848589,3.800278507235292,0.1029898087404106
